Year,Country,R&D Spending (millions euros),Notes
2008,Estonia,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Finland,228,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,France,"5,120","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Germany,"4,840","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Greece,84,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Hungary,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Iceland,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Ireland,250,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Italy,"1,200","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Latvia,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Lithuania,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Malta,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Netherlands,471,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Norway,117,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Poland,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Portugal,71,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Romania,30,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Slovakia,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Slovenia,100,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Spain,914,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Sweden,811,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Switzerland,"3,500","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,United Kingdom,"5,426","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2009,Austria,280,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Belgium,"1,809","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Bulgaria,1,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Croatia,27,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Cyprus,14,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Czech Republic,49,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Denmark,"1,102","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Estonia,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Finland,255,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,France,"4,964","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Germany,"5,379","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Greece,84,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Hungary,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,lreland,260,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Italy,"1,220","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Latvia,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Lithuania,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Malta,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Netherlands,550,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Norway,96,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Poland,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,PortugaI,103,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Romania,150,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Slovakia,n.a.,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Slovenia,88,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Spain,967,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Sweden,746,"Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,Switzerland,"4,320","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2009,United Kingdom,"4,976","Austria, Cyprus: 2007 data
 France, Greece, Portugal: 2008 data
 Belgium, Denmark, Greece, Ireland, Italy, The Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Austria,190,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Belgium,"1,780","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Bulgaria,1,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Croatia,27,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Cyprus,14,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Czech Republic,49,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Denmark,"1,102","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Estonia,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Finland,227,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,France,"4,964","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Germany,"4,812","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Greece,84,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Hungary,151,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Ireland,194,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Italy,"1,240","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Latvia,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Lithuania,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Malta,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Netherlands,550,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Norway,104,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Poland,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Portugal,42,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Romania,199,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Serbia,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Slovakia,n.a.,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Slovenia,91,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Spain,966,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Sweden,988,"Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,Switzerland,"4,619","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2010,United Kingdom,"5,402","Cyprus: 2007 data
 Bulgaria, Czech Republic, France, Netherlands, Portugal: 2009 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2012,Austria,453,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Belgium,"2,343","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Bulgaria,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Croatia,40,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Cyprus,14,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Czech Republic,49,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Denmark,"1,411","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Estonia,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Finland,264,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,France,"4,392","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Germany,"5,767","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Greece,84,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Hungary,158,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Ireland,194,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Italy,"1,230","Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Latvia,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Lithuania,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Malta,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Netherlands,642,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Norway,141,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Poland,227,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Portugal,88,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Romania,200,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
2012,Serbia,n.a.,"Austria, croatia, finland, france, greece, Ireland, netherlands, portugal,
Slovenia: 2011; czech Republic: 2009 data; cyprus: 2007 data
belgium, croatia, Denmark, france, greece, Ireland, Italy, netherlands,
norway (lMI members), poland, Romania, Slovenia, Sweden
(lIf members), Switzerland (Interpharma members), Turkey: estimate"
